benchmark,valid,warmup,elapsed_ms,socket,heap_size,gc,cpu_freq_mhz,dram_j,cpu_j,package_j
biojava,true,true,22149,0,7m,serial,400MHz,8.099243000,12.245788000,43.250915000
biojava,true,true,9848,0,7m,serial,400MHz,3.807617000,5.739380000,19.814636000
biojava,true,true,8231,0,7m,serial,400MHz,3.194641000,4.847168000,16.189758000
biojava,true,true,7685,0,7m,serial,400MHz,3.004456000,4.538330000,15.368774000
biojava,true,true,7885,0,7m,serial,400MHz,3.079284000,4.609192000,15.924438000
biojava,true,false,7375,0,7m,serial,400MHz,2.825684000,4.261963000,14.635925000
biojava,true,true,21353,0,7m,serial,400MHz,7.793335000,12.086060000,42.344116000
biojava,true,true,9846,0,7m,serial,400MHz,3.818542000,5.760315000,19.549683000
biojava,true,true,7799,0,7m,serial,400MHz,3.053528000,4.619080000,15.453125000
biojava,true,true,8053,0,7m,serial,400MHz,3.123169000,4.739441000,15.888489000
biojava,true,true,7982,0,7m,serial,400MHz,3.121887000,4.698852000,16.038208000
biojava,true,false,7162,0,7m,serial,400MHz,2.811767000,4.181823000,14.662049000
biojava,true,true,21119,0,7m,serial,400MHz,7.696778000,11.966797000,42.380860000
biojava,true,true,9888,0,7m,serial,400MHz,3.747681000,5.728149000,20.040466000
biojava,true,true,7588,0,7m,serial,400MHz,2.920349000,4.445801000,15.453735000
biojava,true,true,7920,0,7m,serial,400MHz,3.072876000,4.648132000,16.188904000
biojava,true,true,7575,0,7m,serial,400MHz,2.919189000,4.447570000,15.444763000
biojava,true,false,7524,0,7m,serial,400MHz,2.951660000,4.403503000,15.406433000
biojava,true,true,21473,0,7m,serial,400MHz,7.884156000,12.235535000,43.271301000
biojava,true,true,9349,0,7m,serial,400MHz,3.588196000,5.464111000,19.089966000
biojava,true,true,7698,0,7m,serial,400MHz,2.950806000,4.522888000,15.707215000
biojava,true,true,7929,0,7m,serial,400MHz,3.099975000,4.685608000,16.287964000
biojava,true,true,7780,0,7m,serial,400MHz,3.018250000,4.586975000,15.820557000
biojava,true,false,7301,0,7m,serial,400MHz,2.857177000,4.270325000,14.940735000
biojava,true,true,21061,0,7m,serial,400MHz,7.685242000,11.923706000,42.219482000
biojava,true,true,10033,0,7m,serial,400MHz,3.838990000,5.819946000,20.403565000
biojava,true,true,7711,0,7m,serial,400MHz,3.012513000,4.653748000,15.908203000
biojava,true,true,7837,0,7m,serial,400MHz,3.050354000,4.608093000,16.032409000
biojava,true,true,7986,0,7m,serial,400MHz,3.120239000,4.705140000,16.070739000
biojava,true,false,7150,0,7m,serial,400MHz,2.799378000,4.201416000,14.105713000
biojava,true,true,20772,0,7m,serial,400MHz,7.618652000,11.806579000,40.899597000
biojava,true,true,9706,0,7m,serial,400MHz,3.694397000,5.634949000,19.016479000
biojava,true,true,7729,0,7m,serial,400MHz,3.013855000,4.563538000,15.718140000
biojava,true,true,8724,0,7m,serial,400MHz,3.887574000,6.255493000,19.233093000
biojava,true,true,7971,0,7m,serial,400MHz,3.171508000,4.880981000,15.945007000
biojava,true,true,8282,0,7m,serial,400MHz,3.512635000,5.875122000,17.671570000
biojava,true,true,8254,0,7m,serial,400MHz,3.350647000,5.960327000,17.779907000
biojava,true,false,9844,0,7m,serial,400MHz,4.048340000,7.730103000,21.450501000
biojava,true,true,21724,0,7m,serial,400MHz,8.744995000,16.243591000,47.515686000
biojava,true,true,10941,0,7m,serial,400MHz,5.032348000,8.738891000,24.939880000
biojava,true,true,7914,0,7m,serial,400MHz,3.204407000,5.121277000,16.730346000
biojava,true,true,8027,0,7m,serial,400MHz,3.067566000,4.671692000,16.301147000
biojava,true,true,8037,0,7m,serial,400MHz,3.120728000,4.698914000,16.388001000
biojava,true,false,7211,0,7m,serial,400MHz,2.840759000,4.245910000,14.475830000
biojava,true,true,21135,0,7m,serial,400MHz,7.699890000,11.978149000,42.164551000
biojava,true,true,9396,0,7m,serial,400MHz,3.628296000,5.464294000,19.171570000
biojava,true,true,7812,0,7m,serial,400MHz,2.972168000,4.492005000,15.806763000
biojava,true,true,7535,0,7m,serial,400MHz,2.938476000,4.432495000,15.440124000
biojava,true,true,7763,0,7m,serial,400MHz,2.979553000,4.547180000,15.804199000
biojava,true,false,7619,0,7m,serial,400MHz,2.968079000,4.467590000,15.591980000
biojava,true,true,21343,0,7m,serial,400MHz,7.827820000,12.149964000,42.928528000
biojava,true,true,9640,0,7m,serial,400MHz,3.707031000,5.599060000,19.657104000
biojava,true,true,7773,0,7m,serial,400MHz,2.981751000,4.488403000,15.788635000
biojava,true,true,8509,0,7m,serial,400MHz,3.303833000,5.002197000,17.438416000
biojava,true,true,7921,0,7m,serial,400MHz,3.085754000,4.655335000,16.227234000
biojava,true,true,7153,0,7m,serial,400MHz,2.812195000,4.237305000,14.713745000
biojava,true,true,7150,0,7m,serial,400MHz,2.827270000,4.288147000,14.756042000
biojava,true,true,9545,0,7m,serial,400MHz,3.742798000,5.544555000,19.457947000
biojava,true,true,7142,0,7m,serial,400MHz,2.793151000,4.162353000,14.592530000
biojava,true,true,7277,0,7m,serial,400MHz,2.841796000,4.292542000,14.915100000
biojava,true,true,7343,0,7m,serial,400MHz,2.891114000,4.357178000,15.099976000
biojava,true,false,7285,0,7m,serial,400MHz,2.844543000,4.286499000,14.923400000
biojava,true,true,21469,0,7m,serial,400MHz,7.841430000,12.088257000,43.063172000
biojava,true,true,9624,0,7m,serial,400MHz,3.672729000,5.570313000,19.579224000
biojava,true,true,7662,0,7m,serial,400MHz,2.993713000,4.495789000,15.691040000
biojava,true,true,7702,0,7m,serial,400MHz,2.966858000,4.495178000,15.690368000
