Benchmark,Objective,Reference Lowest Mean Config,Reference Lowest Mean,Reference CI Low,Reference CI High,Tied Config Count,Tied Frequencies,Tied Heaps,Tied Configs
avrora,EDP,2.7GHz / 4x,70.283,68.976,71.928,4,2.7GHz,"3x, 4x, 5x, 6x",2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
avrora,EDP2,2.7GHz / 4x,1375.334,1336.029,1424.481,6,"2.4GHz, 2.7GHz","3x, 4x, 5x, 6x",2.4GHz / 3x; 2.4GHz / 4x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
avrora,Energy,1.6GHz / 4x,17.518,17.326,17.734,4,"1.6GHz, 2.0GHz","3x, 4x",1.6GHz / 3x; 1.6GHz / 4x; 2.0GHz / 3x; 2.0GHz / 4x
avrora,Time,2.7GHz / 4x,3592.7,3560.4,3634.618,4,2.7GHz,"3x, 4x, 5x, 6x",2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
batik,EDP,2.7GHz / 2.5x,1.65,1.446,1.83,5,"2.4GHz, 2.7GHz","2x, 2.5x, 3x",2.4GHz / 2.5x; 2.4GHz / 3x; 2.7GHz / 2x; 2.7GHz / 2.5x; 2.7GHz / 3x
batik,EDP2,2.7GHz / 2.5x,5.044,4.169,5.924,9,"1.8GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 2.5x, 3x",1.8GHz / 2.5x; 1.8GHz / 3x; 2.0GHz / 2.5x; 2.0GHz / 3x; 2.4GHz / 2.5x; 2.4GHz / 3x; 2.7GHz / 2x; 2.7GHz / 2.5x; 2.7GHz / 3x
batik,Energy,1.8GHz / 3x,2.652,2.501,2.802,5,"1.8GHz, 2.0GHz, 2.4GHz","2.5x, 3x",1.8GHz / 2.5x; 1.8GHz / 3x; 2.0GHz / 2.5x; 2.0GHz / 3x; 2.4GHz / 3x
batik,Time,2.7GHz / 2.5x,544.0,512.4,574.202,3,2.7GHz,"2x, 2.5x, 3x",2.7GHz / 2x; 2.7GHz / 2.5x; 2.7GHz / 3x
biojava,EDP,2.0GHz / 4x,0.16,0.154,0.166,2,"2.0GHz, 2.7GHz",4x,2.0GHz / 4x; 2.7GHz / 4x
biojava,EDP2,2.0GHz / 4x,0.126,0.118,0.133,1,2.0GHz,4x,2.0GHz / 4x
biojava,Energy,2.0GHz / 4x,0.784,0.766,0.801,2,"1.8GHz, 2.0GHz","3x, 4x",1.8GHz / 3x; 2.0GHz / 4x
biojava,Time,2.7GHz / 4x,177.0,158.398,197.002,7,"2.4GHz, 2.7GHz","3x, 4x, 5x, 6x",2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x
fop,EDP,2.7GHz / 2x,0.13,0.114,0.145,7,"2.0GHz, 2.4GHz, 2.7GHz","1.5x, 2x, 2.5x, 3x",2.0GHz / 2.5x; 2.4GHz / 2x; 2.4GHz / 2.5x; 2.7GHz / 1.5x; 2.7GHz / 2x; 2.7GHz / 2.5x; 2.7GHz / 3x
