Objective,CPU Frequency (MHz),Frequency (MHz),Benchmark_Coverage,Tie_Config_Count
EDP,1.6GHz,1600.0,3,12
EDP,2.0GHz,2000.0,9,27
EDP,2.4GHz,2400.0,11,38
EDP,2.7GHz,2700.0,12,47
EDP2,1.2GHz,1200.0,1,4
EDP2,1.6GHz,1600.0,8,28
EDP2,2.0GHz,2000.0,12,45
EDP2,2.4GHz,2400.0,12,45
EDP2,2.7GHz,2700.0,12,44
Energy,1.2GHz,1200.0,4,13
Energy,1.6GHz,1600.0,13,60
Energy,2.0GHz,2000.0,13,45
Energy,2.4GHz,2400.0,5,16
Energy,2.7GHz,2700.0,2,2
Time,1.6GHz,1600.0,1,5
Time,2.0GHz,2000.0,3,9
Time,2.4GHz,2400.0,6,23
Time,2.7GHz,2700.0,13,53
