Objective,Heap Label,Heap Multiplier Value,Benchmark_Coverage,Tie_Config_Count
EDP,1x,1.0,2,3
EDP,1.5x,1.5,2,3
EDP,2x,2.0,10,22
EDP,2.5x,2.5,2,5
EDP,3x,3.0,11,23
EDP,4x,4.0,13,29
EDP,5x,5.0,13,27
EDP,6x,6.0,12,30
EDP2,1x,1.0,2,5
EDP2,1.5x,1.5,2,3
EDP2,2x,2.0,12,29
EDP2,2.5x,2.5,2,7
EDP2,3x,3.0,13,33
EDP2,4x,4.0,12,38
EDP2,5x,5.0,13,35
EDP2,6x,6.0,13,39
Energy,1x,1.0,2,4
Energy,1.5x,1.5,2,4
Energy,2x,2.0,12,25
Energy,2.5x,2.5,2,8
Energy,3x,3.0,13,30
Energy,4x,4.0,13,29
Energy,5x,5.0,13,28
Energy,6x,6.0,13,32
Time,1x,1.0,3,4
Time,1.5x,1.5,2,3
Time,2x,2.0,10,16
Time,2.5x,2.5,2,4
Time,3x,3.0,10,15
Time,4x,4.0,13,21
Time,5x,5.0,12,18
Time,6x,6.0,12,21
