Benchmark,Objective,Reference Lowest Mean Config,Reference Lowest Mean,Reference CI Low,Reference CI High,Tied Config Count,Tied Frequencies,Tied Heaps,Tied Configs
avrora,EDP,2.7GHz / 3x,20.549,19.638,21.386,7,"2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.4GHz / 4x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
avrora,Energia,1.6GHz / 4x,9.149,8.979,9.272,8,"1.6GHz, 2.0GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 6x
avrora,E²DP,2.4GHz / 4x,215.514,201.475,226.779,12,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 3x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
avrora,Tempo,2.7GHz / 3x,1958.5,1915.9,1995.302,5,2.7GHz,"2x, 3x, 4x, 5x, 6x",2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
biojava,EDP,2.4GHz / 4x,0.113,0.103,0.128,11,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
biojava,Energia,2.0GHz / 4x,0.7,0.663,0.754,11,"1.6GHz, 2.0GHz, 2.4GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 4x
biojava,E²DP,2.4GHz / 4x,0.086,0.074,0.105,15,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
biojava,Tempo,2.7GHz / 5x,139.2,128.0,150.802,5,"2.4GHz, 2.7GHz","2x, 4x, 5x, 6x",2.4GHz / 4x; 2.7GHz / 2x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
fop,EDP,2.0GHz / 6x,0.126,0.112,0.141,12,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 2x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
fop,Energia,1.6GHz / 4x,0.682,0.649,0.712,6,"1.6GHz, 2.0GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 6x
fop,E²DP,2.0GHz / 6x,0.087,0.072,0.102,9,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 4x, 5x, 6x",1.6GHz / 4x; 2.0GHz / 2x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 4x
fop,Tempo,2.7GHz / 4x,159.3,146.795,172.808,11,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
h2o,EDP,2.7GHz / 4x,4.349,4.195,4.478,3,2.7GHz,"4x, 5x, 6x",2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
h2o,Energia,1.6GHz / 4x,4.42,4.289,4.558,9,"1.6GHz, 2.0GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 5x; 2.0GHz / 6x
h2o,E²DP,2.7GHz / 4x,21.809,20.597,22.772,7,"2.0GHz, 2.4GHz, 2.7GHz","3x, 4x, 5x, 6x",2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 3x; 2.4GHz / 4x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
h2o,Tempo,2.7GHz / 4x,867.8,851.792,879.402,3,2.7GHz,"4x, 5x, 6x",2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
jme,EDP,2.4GHz / 6x,0.93,0.788,1.09,17,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 3x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
jme,Energia,1.6GHz / 6x,1.666,1.429,1.927,19,"1.2GHz, 1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.2GHz / 3x; 1.2GHz / 4x; 1.2GHz / 5x; 1.2GHz / 6x; 1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 6x
jme,E²DP,2.0GHz / 6x,1.774,1.271,2.303,18,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
