Benchmark,Objective,CPU Frequency (MHz),Frequency (MHz),Heap Label,Heap Multiplier Value,Heap Size MB,Mean,CI Low,CI High,Tied With Lowest Mean CI
avrora,Energy,400MHz,400.0,1x,1.0,5,25.050995,24.651700654999996,25.477314537499996,False
avrora,Energy,400MHz,400.0,2x,2.0,10,23.3695435,22.9751341275,23.80096663,False
avrora,Energy,400MHz,400.0,3x,3.0,15,23.791760000000004,23.365167962500003,24.179140305,False
avrora,Energy,400MHz,400.0,4x,4.0,20,23.634112700000003,23.1874504975,24.05370504,False
avrora,Energy,400MHz,400.0,5x,5.0,25,23.2411498,22.843890190000003,23.637459869999997,False
avrora,Energy,400MHz,400.0,6x,6.0,30,24.1811034,23.436073504999992,24.968254505,False
avrora,Energy,800MHz,800.0,1x,1.0,5,14.414367700000003,14.0032133725,14.87217627,False
avrora,Energy,800MHz,800.0,2x,2.0,10,13.504150199999998,13.156815634999996,13.889595272499998,False
avrora,Energy,800MHz,800.0,3x,3.0,15,13.5781862,13.33712112,13.7721126,False
avrora,Energy,800MHz,800.0,4x,4.0,20,13.2763732,13.066867299999998,13.4743776475,False
avrora,Energy,800MHz,800.0,5x,5.0,25,13.3854006,13.147750665,13.645109704999998,False
avrora,Energy,800MHz,800.0,6x,6.0,30,13.8156554,13.324880945,14.392840864999998,False
avrora,Energy,1.2GHz,1200.0,1x,1.0,5,11.3067321,11.0469430075,11.550445425,False
avrora,Energy,1.2GHz,1200.0,2x,2.0,10,10.602703799999995,10.20588929,11.0430816175,False
avrora,Energy,1.2GHz,1200.0,3x,3.0,15,10.8234984,10.578236985,11.142594379999997,False
avrora,Energy,1.2GHz,1200.0,4x,4.0,20,10.5148681,10.32472459,10.7218151275,False
avrora,Energy,1.2GHz,1200.0,5x,5.0,25,10.4201662,10.2465330225,10.5837289075,False
avrora,Energy,1.2GHz,1200.0,6x,6.0,30,10.729315199999998,10.353731795000002,11.2236937625,False
avrora,Energy,1.6GHz,1600.0,1x,1.0,5,10.0425967,9.824211655,10.2246821075,False
avrora,Energy,1.6GHz,1600.0,2x,2.0,10,9.205615300000002,9.0310133775,9.3604964725,True
avrora,Energy,1.6GHz,1600.0,3x,3.0,15,9.197046,9.0047545475,9.3736132975,True
avrora,Energy,1.6GHz,1600.0,4x,4.0,20,9.1488585,8.979322102499998,9.2721166025,True
avrora,Energy,1.6GHz,1600.0,5x,5.0,25,9.4221007,9.214377332500002,9.67710357,True
avrora,Energy,1.6GHz,1600.0,6x,6.0,30,9.1601379,8.923338099999999,9.410337337499998,True
avrora,Energy,2.0GHz,2000.0,1x,1.0,5,10.1494323,9.953854830000004,10.3283686875,False
avrora,Energy,2.0GHz,2000.0,2x,2.0,10,9.3731873,9.25985166,9.5058818425,True
avrora,Energy,2.0GHz,2000.0,3x,3.0,15,9.2999696,9.060690595,9.5121922725,True
avrora,Energy,2.0GHz,2000.0,4x,4.0,20,9.4450988,9.3663353,9.52018756,False
avrora,Energy,2.0GHz,2000.0,5x,5.0,25,9.4331359,9.293260062499998,9.5992364425,False
avrora,Energy,2.0GHz,2000.0,6x,6.0,30,9.3418701,9.1095892875,9.6122170775,True
avrora,Energy,2.4GHz,2400.0,1x,1.0,5,10.8890623,10.6213623625,11.09227277,False
avrora,Energy,2.4GHz,2400.0,2x,2.0,10,10.2340089,9.876963625,10.6337230625,False
avrora,Energy,2.4GHz,2400.0,3x,3.0,15,10.119256699999998,9.8716766425,10.42360644,False
avrora,Energy,2.4GHz,2400.0,4x,4.0,20,9.856183,9.6330176775,10.050851772500003,False
avrora,Energy,2.4GHz,2400.0,5x,5.0,25,10.0609557,9.7989161875,10.2731323175,False
avrora,Energy,2.4GHz,2400.0,6x,6.0,30,9.904181,9.702412765,10.103882987500002,False
avrora,Energy,2.7GHz,2700.0,1x,1.0,5,11.5720213,11.2762269475,11.93250152,False
avrora,Energy,2.7GHz,2700.0,2x,2.0,10,10.6122069,10.304900349999995,10.895176375,False
avrora,Energy,2.7GHz,2700.0,3x,3.0,15,10.479834,10.226389295,10.69927132,False
avrora,Energy,2.7GHz,2700.0,4x,4.0,20,10.6954161,10.5427801425,10.8580877425,False
avrora,Energy,2.7GHz,2700.0,5x,5.0,25,10.6638673,10.4151852525,10.9040638975,False
avrora,Energy,2.7GHz,2700.0,6x,6.0,30,10.7425782,10.5249401775,10.94870005,False
avrora,Time,400MHz,400.0,1x,1.0,5,14294.5,14051.0925,14575.2825,False
avrora,Time,400MHz,400.0,2x,2.0,10,13323.3,13084.7575,13556.055,False
avrora,Time,400MHz,400.0,3x,3.0,15,13613.3,13367.680000000002,13836.5125,False
avrora,Time,400MHz,400.0,4x,4.0,20,13504.5,13251.4075,13731.53,False
avrora,Time,400MHz,400.0,5x,5.0,25,13287.2,13071.6675,13539.205,False
avrora,Time,400MHz,400.0,6x,6.0,30,13816.8,13403.28,14225.8425,False
avrora,Time,800MHz,800.0,1x,1.0,5,7150.8,6963.295,7384.7075,False
avrora,Time,800MHz,800.0,2x,2.0,10,6711.5,6518.264999999999,6892.3525,False
avrora,Time,800MHz,800.0,3x,3.0,15,6732.4,6633.8949999999995,6822.005,False
avrora,Time,800MHz,800.0,4x,4.0,20,6589.4,6487.295,6686.610000000001,False
avrora,Time,800MHz,800.0,5x,5.0,25,6645.4,6526.595,6771.929999999999,False
