Objective,CPU Frequency (MHz),Frequency (MHz),Benchmark_Coverage,Tie_Config_Count
EDP,1.2GHz,1200.0,2,2
EDP,1.6GHz,1600.0,3,4
EDP,1.8GHz,1800.0,4,12
EDP,2.0GHz,2000.0,10,26
EDP,2.4GHz,2400.0,13,36
EDP,2.7GHz,2700.0,16,53
EDP2,1.2GHz,1200.0,2,5
EDP2,1.6GHz,1600.0,4,7
EDP2,1.8GHz,1800.0,6,22
EDP2,2.0GHz,2000.0,14,42
EDP2,2.4GHz,2400.0,15,49
EDP2,2.7GHz,2700.0,14,48
Energy,1.2GHz,1200.0,6,13
Energy,1.6GHz,1600.0,8,25
Energy,1.8GHz,1800.0,9,31
Energy,2.0GHz,2000.0,16,47
Energy,2.4GHz,2400.0,8,18
Energy,2.7GHz,2700.0,2,6
Time,1.8GHz,1800.0,2,6
Time,2.0GHz,2000.0,3,9
Time,2.4GHz,2400.0,8,29
Time,2.7GHz,2700.0,17,63
