Objective,Heap Label,Heap Multiplier Value,Benchmark_Coverage,Tie_Config_Count
EDP,1x,1.0,1,4
EDP,1.5x,1.5,2,2
EDP,2x,2.0,7,17
EDP,2.5x,2.5,3,8
EDP,3x,3.0,12,22
EDP,4x,4.0,12,24
EDP,5x,5.0,12,30
EDP,6x,6.0,12,26
EDP2,1x,1.0,1,3
EDP2,1.5x,1.5,2,3
EDP2,2x,2.0,7,19
EDP2,2.5x,2.5,3,10
EDP2,3x,3.0,14,37
EDP2,4x,4.0,12,32
EDP2,5x,5.0,12,37
EDP2,6x,6.0,12,32
Energy,1x,1.0,1,3
Energy,1.5x,1.5,2,3
Energy,2x,2.0,6,16
Energy,2.5x,2.5,3,8
Energy,3x,3.0,15,33
Energy,4x,4.0,12,25
Energy,5x,5.0,11,27
Energy,6x,6.0,11,25
Time,1x,1.0,1,2
Time,1.5x,1.5,2,3
Time,2x,2.0,8,15
Time,2.5x,2.5,3,4
Time,3x,3.0,12,21
Time,4x,4.0,12,19
Time,5x,5.0,13,21
Time,6x,6.0,13,22
