Benchmark,Objective,CPU Frequency (MHz),Frequency (MHz),Heap Label,Heap Multiplier Value,Heap Size MB,Mean,CI Low,CI High,Tied With Lowest Mean CI
avrora,Energy,400MHz,400.0,1x,1.0,5,60.5254516,60.091544565,60.886933855,False
avrora,Energy,400MHz,400.0,2x,2.0,10,47.994457999999995,46.533671845,49.882697047499995,False
avrora,Energy,400MHz,400.0,3x,3.0,15,45.678656,45.30459519,46.0104859825,False
avrora,Energy,400MHz,400.0,4x,4.0,20,45.8173644,45.1821583475,46.484638585,False
avrora,Energy,400MHz,400.0,5x,5.0,25,49.3703857,48.321926475,50.976604205,False
avrora,Energy,400MHz,400.0,6x,6.0,30,49.153595,48.55947161000001,49.8349606575,False
avrora,Energy,800MHz,800.0,1x,1.0,5,34.5700074,34.330209984999996,34.7883446025,False
avrora,Energy,800MHz,800.0,2x,2.0,10,28.766644299999996,28.43124266,29.184087664999993,False
avrora,Energy,800MHz,800.0,3x,3.0,15,26.070074300000005,25.83234502,26.3041098625,False
avrora,Energy,800MHz,800.0,4x,4.0,20,26.207068,25.886722014999997,26.5276783375,False
avrora,Energy,800MHz,800.0,5x,5.0,25,27.695300300000003,27.38649038,28.0887094775,False
avrora,Energy,800MHz,800.0,6x,6.0,30,27.4627319,27.1782275675,27.71197545,False
avrora,Energy,1.2GHz,1200.0,1x,1.0,5,27.699761799999997,27.2170652,28.261122187499993,False
avrora,Energy,1.2GHz,1200.0,2x,2.0,10,22.7075805,22.1831427075,23.283354655,False
avrora,Energy,1.2GHz,1200.0,3x,3.0,15,19.9373537,19.81217857,20.07123056,False
avrora,Energy,1.2GHz,1200.0,4x,4.0,20,19.922766400000004,19.7632092725,20.141900864999997,False
avrora,Energy,1.2GHz,1200.0,5x,5.0,25,21.3774598,21.0689083375,21.656879782500003,False
avrora,Energy,1.2GHz,1200.0,6x,6.0,30,21.5695983,21.364480089999997,21.761658729999997,False
avrora,Energy,1.6GHz,1600.0,1x,1.0,5,23.5246706,23.231821847500004,23.868095629999996,False
avrora,Energy,1.6GHz,1600.0,2x,2.0,10,19.1926391,18.9491234825,19.4252578275,False
avrora,Energy,1.6GHz,1600.0,3x,3.0,15,18.4686402,17.64497619,19.8643932325,True
avrora,Energy,1.6GHz,1600.0,4x,4.0,20,17.5179138,17.32590489,17.73405186,True
avrora,Energy,1.6GHz,1600.0,5x,5.0,25,18.5835816,18.35497016,18.816981759999997,False
avrora,Energy,1.6GHz,1600.0,6x,6.0,30,19.3730469,18.558691869999997,20.5528431325,False
avrora,Energy,2.0GHz,2000.0,1x,1.0,5,23.624102800000003,23.253869915,24.18331579,False
avrora,Energy,2.0GHz,2000.0,2x,2.0,10,19.0233093,18.8702233925,19.173085022499997,False
avrora,Energy,2.0GHz,2000.0,3x,3.0,15,17.825000199999998,17.677425292499997,17.987182527499996,True
avrora,Energy,2.0GHz,2000.0,4x,4.0,20,17.6750672,17.56356843,17.782858925000003,True
avrora,Energy,2.0GHz,2000.0,5x,5.0,25,18.5132872,18.276959957499997,18.7946086025,False
avrora,Energy,2.0GHz,2000.0,6x,6.0,30,18.3632754,18.276126905,18.4589987875,False
avrora,Energy,2.4GHz,2400.0,1x,1.0,5,23.8952332,23.573381862500003,24.228163165,False
avrora,Energy,2.4GHz,2400.0,2x,2.0,10,19.2127197,19.01151901,19.473739645,False
avrora,Energy,2.4GHz,2400.0,3x,3.0,15,18.7813357,18.441846,19.2252106825,False
